1	static void badSink ( char * data ) { { char dest [ 50 ] = "" ; memcpy ( dest , data , strlen ( data ) * sizeof ( char ) ) ; dest [ 50 - 1 ] = '\0' ; printLine ( data ) ; } } 
2	typedef signed long long int64_t ; static void FUN ( ) { int64_t * data ; int64_t dataBadBuffer [ 50 ] ; int64_t dataGoodBuffer [ 100 ] ; if ( true ) { data = dataGoodBuffer ; } { int64_t source [ 100 ] = { 0 } ; memcpy ( data , source , 100 * sizeof ( int64_t ) ) ; printLongLongLine ( data [ 0 ] ) ; } } 	0
3	typedef unsigned short wchar_t; void FUN ( ) { wchar_t * data ; wchar_t * dataBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; data = dataBuffer ; data = badSource ( data ) ; { wchar_t dest [ 50 ] = L"" ; wcscpy ( dest , data ) ; printWLine ( data ) ; } } 	1
4	typedef unsigned short wchar_t; void FUN ( ) { wchar_t * data ; wchar_t dataBuffer [ 100 ] ; data = dataBuffer ; switch ( 6 ) { case 6 : wmemset ( data , L'A' , 100 - 1 ) ; data [ 100 - 1 ] = L'\0' ; break ; default : printLine ( STR ) ; break ; } { wchar_t dest [ 50 ] = L"" ; swprintf ( dest , wcslen ( data ) , L"%s" , data ) ; printWLine ( data ) ; } } 	1
5	void FUN ( ) { char * data ; char dataBadBuffer [ 10 ] ; char dataGoodBuffer [ 10 + 1 ] ; goto source ; source : data = dataBadBuffer ; data [ 0 ] = '\0' ; { char source [ 10 + 1 ] = "AAAAAAAAAA" ; strncpy ( data , source , strlen ( source ) + 1 ) ; printLine ( data ) ; } } 	1
6	void FUN ( ) { char * data ; char * * dataPtr1 = & data ; char * * dataPtr2 = & data ; char dataBadBuffer [ 50 ] ; char dataGoodBuffer [ 100 ] ; { char * data = * dataPtr1 ; data = dataBadBuffer ; data [ 0 ] = '\0' ; * dataPtr1 = data ; } { char * data = * dataPtr2 ; { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; strncat ( data , source , 100 ) ; printLine ( data ) ; } } } 	1
7	void FUN ( ) { char * data ; char * dataBadBuffer = ( char * ) ALLOCA ( ( 10 ) * sizeof ( char ) ) ; char * dataGoodBuffer = ( char * ) ALLOCA ( ( 10 + 1 ) * sizeof ( char ) ) ; if ( 5 == 5 ) { data = dataBadBuffer ; data [ 0 ] = '\0' ; } { char source [ 10 + 1 ] = "AAAAAAAAAA" ; strncpy ( data , source , strlen ( source ) + 1 ) ; printLine ( data ) ; } } 	1
8	static char * FUN ( char * data ) { memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; return data ; } 	0
9	typedef unsigned short wchar_t; void FUN ( ) { wchar_t * data ; void ( * funcPtr ) ( wchar_t * ) = badSink ; wchar_t * dataBadBuffer = ( wchar_t * ) ALLOCA ( 50 * sizeof ( wchar_t ) ) ; wchar_t * dataGoodBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; data = dataBadBuffer ; data [ 0 ] = L'\0' ; funcPtr ( data ) ; } 	1
10	void FUN ( ) { int data ; data = - 1 ; if ( 5 == 5 ) { data = RAND32 ( ) ; } if ( 5 == 5 ) { { int i ; int buffer [ 10 ] = { 0 } ; if ( data >= 0 ) { buffer [ data ] = 1 ; for ( i = 0 ; i < 10 ; i ++ ) { printIntLine ( buffer [ i ] ) ; } } else { printLine ( STR ) ; } } } } 	1
11	typedef unsigned short wchar_t; static void FUN ( ) { int h ; wchar_t * data ; wchar_t * dataBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; data = dataBuffer ; for ( h = 0 ; h < 1 ; h ++ ) { wmemset ( data , L'A' , 50 - 1 ) ; data [ 50 - 1 ] = L'\0' ; } { wchar_t dest [ 50 ] = L"" ; memcpy ( dest , data , wcslen ( data ) * sizeof ( wchar_t ) ) ; dest [ 50 - 1 ] = L'\0' ; printWLine ( data ) ; } } 	0
