,gadget,val1,val2,val3,val4,val5
0,"['Parse_Env_Var', '(', 'void', ')', '{', 'char', '*', 'p', '=', 'getenv', '(', '""""', ')', ';', 'if', '(', 'p', '==', 'NULL', ')', 'return', ';', 'if', '(', 'strstr', '(', 'p', ',', '""""', ')', '!=', 'NULL', ')', 'use_gui', '=', '0', ';', 'if', '(', 'strstr', '(', 'p', ',', '""""', ')', '!=', 'NULL', ')', 'use_ansi', '=', '0', ';', 'if', '(', '(', 'p', '=', 'strstr', '(', 'p', ',', '""""', ')', ')', '!=', 'NULL', ')', '{', 'p', '+=', '4', ';', 'if', '(', 'isdigit', '(', '*', 'p', ')', ')', 'fd_out', '=', 'strtol', '(', 'p', ',', 'NULL', ',', '10', ')', ';', '{', 'char', 'buff', '[', '1024', ']', ';', 'char', '*', 'q', '=', 'buff', ';', 'while', '(', '*', 'p', '&&', 'isprint', '(', '*', 'p', ')', '&&', '!isspace', '(', '*', 'p', ')', ')', '*', 'q', '++', '=', '*', 'p', '++', ';', '*', 'q', '=', ""''"", ';', '}', '}', '}']",CWE-119  True,CWE-120  True,CWE-469  False,CWE-476  False,CWE-other  False
1,"['img_filename', '(', 'const', 'char', '*', 'mapimgfile', ',', 'enum', 'imageformat', 'format', ',', 'char', '*', 'filename', ',', 'size_t', 'filename_len', ')', '{', 'fc_assert_ret_val', '(', 'imageformat_is_valid', '(', 'format', ')', ',', 'FALSE', ')', ';', 'fc_snprintf', '(', 'filename', ',', 'filename_len', ',', '""""', ',', 'mapimgfile', ',', 'imageformat_name', '(', 'format', ')', ')', ';', 'return', 'TRUE', ';', '}']",CWE-119  True,CWE-120  True,CWE-469  False,CWE-476  False,CWE-other  False
2,"['sigar_net_interface_list_get', '(', 'sigar_t', '*', 'sigar', ',', 'sigar_net_interface_list_t', '*', 'iflist', ')', '{', 'int', 'n', ',', 'lastlen', '=', '0', ';', 'struct', 'ifreq', '*', 'ifr', ';', 'struct', 'ifconf', 'ifc', ';', 'int', 'sock', '=', 'socket', '(', 'AF_INET', ',', 'SOCK_DGRAM', ',', '0', ')', ';', 'if', '(', 'sock', '<', '0', ')', '{', 'return', 'errno', ';', '}', 'for', '(', ';', ';', ')', '{', 'if', '(', '!sigar', '->', 'ifconf_buf', '||', 'lastlen', ')', '{', 'sigar', '->', 'ifconf_len', '+=', 'sizeof', '(', 'struct', 'ifreq', ')', '*', 'SIGAR_NET_IFLIST_MAX', ';', 'sigar', '->', 'ifconf_buf', '=', 'realloc', '(', 'sigar', '->', 'ifconf_buf', ',', 'sigar', '->', 'ifconf_len', ')', ';', '}', 'ifc', '.', 'ifc_len', '=', 'sigar', '->', 'ifconf_len', ';', 'ifc', '.', 'ifc_buf', '=', 'sigar', '->', 'ifconf_buf', ';', 'if', '(', 'ioctl', '(', 'sock', ',', 'MY_SIOCGIFCONF', ',', '&', 'ifc', ')', '<', '0', ')', '{', 'if', '(', '(', 'errno', '!=', 'EINVAL', ')', '||', '(', 'lastlen', '==', 'ifc', '.', 'ifc_len', ')', ')', '{', 'free', '(', 'ifc', '.', 'ifc_buf', ')', ';', 'return', 'errno', ';', '}', '}', 'if', '(', 'ifc', '.', 'ifc_len', '<', 'sigar', '->', 'ifconf_len', ')', '{', '}', 'if', '(', 'ifc', '.', 'ifc_len', '!=', 'lastlen', ')', '{', 'lastlen', '=', 'ifc', '.', 'ifc_len', ';', 'continue', ';', '}', 'break', ';', '}', 'close', '(', 'sock', ')', ';', 'iflist', '->', 'number', '=', '0', ';', 'iflist', '->', 'size', '=', 'ifc', '.', 'ifc_len', ';', 'iflist', '->', 'data', '=', 'malloc', '(', 'sizeof', '(', '*', '(', 'iflist', '->', 'data', ')', ')', '*', 'iflist', '->', 'size', ')', ';', 'ifr', '=', 'ifc', '.', 'ifc_req', ';', 'for', '(', 'n', '=', '0', ';', 'n', '<', 'ifc', '.', 'ifc_len', ';', 'n', '+=', 'sizeof', '(', 'struct', 'ifreq', ')', ',', 'ifr', '++', ')', '{', 'if', '(', 'ifr', '->', 'ifr_addr', '.', 'sa_family', '!=', 'AF_LINK', ')', '{', '/', '*', 'XXX', ':', 'dunno', 'if', 'this', 'is', 'right', '.', '*', 'otherwise', 'end', 'up', 'with', 'two', ""''"", 'and', 'three', '*', 'with', 'the', 'same', 'ip', 'address', '.', 'continue', ';', '}', '#', 'ifdef', 'if', '(', '!sigar_netif_configured', '(', 'sigar', ',', 'ifr', '->', 'ifr_name', ')', ')', '{', 'continue', ';', '}', '#', 'iflist', '->', 'data', '[', 'iflist', '->', 'number', '++', ']', '=', 'sigar_strdup', '(', 'ifr', '->', 'ifr_name', ')', ';', '}', '#ifdef', 'proc_net_interface_list_get', '(', 'sigar', ',', 'iflist', ')', ';', 'return', 'SIGAR_OK', ';', '}']",CWE-119  False,CWE-120  True,CWE-469  False,CWE-476  False,CWE-other  False
3,"['OperandsComplete', '(', ')', 'const', '{', 'unsigned', 'short', 'NumOperands', '=', 'TID', '->', 'getNumOperands', '(', ')', ';', 'if', '(', '!TID', '->', 'isVariadic', '(', ')', '&&', 'getNumOperands', '(', ')', '-', 'NumImplicitOps', '>=', 'NumOperands', ')', 'return', 'true', ';', '/', '/', 'Broken', ':', 'we', 'have', 'all', 'the', 'operands', 'of', 'this', 'return', 'false', ';', '}']",CWE-119  False,CWE-120  False,CWE-469  False,CWE-476  False,CWE-other  False
4,"['maybe_adjust_types_for_deduction', '(', 'unification_kind_t', 'strict', ',', 'tree', '*', 'parm', ',', 'tree', '*', 'arg', ',', 'tree', 'arg_expr', ')', '{', 'int', 'result', '=', '0', ';', 'switch', '(', 'strict', ')', '{', 'case', 'DEDUCE_CALL', ':', 'break', ';', 'case', 'DEDUCE_CONV', ':', '{', '/', '*', 'Swap', 'PARM', 'and', 'ARG', 'throughout', 'the', 'remainder', 'of', 'function', ';', 'the', 'handling', 'is', 'precisely', 'symmetric', 'since', 'tree', '*', 'temp', '=', 'parm', ';', 'parm', '=', 'arg', ';', 'arg', '=', 'temp', ';', 'break', ';', '}', 'case', 'DEDUCE_EXACT', ':', '/', '*', 'Core', 'issue', '#873', ':', 'Do', 'the', 'DR606', 'thing', '(', 'see', 'below', ')', 'for', 'these', 'cases', ',', 'too', ',', 'but', 'here', 'handle', 'it', 'by', 'stripping', 'the', 'reference', 'from', 'if', '(', 'TREE_CODE', '(', '*', 'parm', ')', '==', '&&', 'TYPE_REF_IS_RVALUE', '(', '*', 'parm', ')', '&&', 'TREE_CODE', '(', 'TREE_TYPE', '(', '*', 'parm', ')', ')', '==', '&&', 'cp_type_quals', '(', 'TREE_TYPE', '(', '*', 'parm', ')', ')', '==', '&&', 'TREE_CODE', '(', '*', 'arg', ')', '==', '&&', '!TYPE_REF_IS_RVALUE', '(', '*', 'arg', ')', ')', '*', 'parm', '=', 'TREE_TYPE', '(', '*', 'parm', ')', ';', 'return', '0', ';', 'default', ':', 'gcc_unreachable', '(', ')', ';', '}', 'if', '(', 'TREE_CODE', '(', '*', 'parm', ')', '!=', 'REFERENCE_TYPE', ')', '{', '/', '*', '[', 'temp', '.', 'deduct', '.', 'call', ']', 'If', 'P', 'is', 'not', 'a', 'reference', 'type', ':', '--', 'If', 'A', 'is', 'an', 'array', 'type', ',', 'the', 'pointer', 'type', 'produced', 'by', 'array', '-', 'to', '-', 'pointer', 'standard', 'conversion', '(', '_conv', '.', 'array_', ')', 'used', 'in', 'place', 'of', 'A', 'for', 'type', 'deduction', ';', 'otherwise', ',', '--', 'If', 'A', 'is', 'a', 'function', 'type', ',', 'the', 'pointer', 'type', 'produced', 'the', 'function', '-', 'to', '-', 'pointer', 'standard', '(', '_conv', '.', 'func_', ')', 'is', 'used', 'in', 'place', 'of', 'A', 'for', 'type', 'deduction', ';', 'otherwise', ',', '--', 'If', 'A', 'is', 'a', 'cv', '-', 'qualified', 'type', ',', 'the', 'top', 'cv', '-', 'qualifiers', 'of', ""A's"", 'type', 'are', 'ignored', 'for', 'if', '(', 'TREE_CODE', '(', '*', 'arg', ')', '==', 'ARRAY_TYPE', ')', '*', 'arg', '=', 'build_pointer_type', '(', 'TREE_TYPE', '(', '*', 'arg', ')', ')', ';', 'else', 'if', '(', 'TREE_CODE', '(', '*', 'arg', ')', '==', 'FUNCTION_TYPE', ')', '*', 'arg', '=', 'build_pointer_type', '(', '*', 'arg', ')', ';', '*', 'arg', '=', 'TYPE_MAIN_VARIANT', '(', '*', 'arg', ')', ';', '}', '/', '*', 'From', 'C', '++', '0x', '[', '14', '.', '8', '.', '2', '.', '1', '/', '3', 'temp', '.', 'deduct', '.', 'call', ']', '(', 'after', 'DR606', ')', ',', '""If', 'P', 'of', 'the', 'form', 'T', '&&', ',', 'where', 'T', 'is', 'a', 'template', 'parameter', ',', 'and', 'the', 'if', '(', 'TREE_CODE', '(', '*', 'parm', ')', '==', '&&', 'TYPE_REF_IS_RVALUE', '(', '*', 'parm', ')', '&&', 'TREE_CODE', '(', 'TREE_TYPE', '(', '*', 'parm', ')', ')', '==', '&&', 'cp_type_quals', '(', 'TREE_TYPE', '(', '*', 'parm', ')', ')', '==', '&&', '(', 'arg_expr', '?', 'real_lvalue_p', '(', 'arg_expr', ')', '/', '*', 'try_one_overload', ""doesn't"", 'provide', 'an', 'arg_expr', ',', ':', 'TREE_CODE', '(', '*', 'arg', ')', '==', 'FUNCTION_TYPE', ')', ')', '*', 'arg', '=', 'build_reference_type', '(', '*', 'arg', ')', ';', '/', '*', '[', 'temp', '.', 'deduct', '.', 'call', ']', 'If', 'P', 'is', 'a', 'cv', '-', 'qualified', 'type', ',', 'the', 'top', 'level', 'cv', '-', 'of', ""P's"", 'type', 'are', 'ignored', 'for', 'type', 'deduction', '.', 'If', 'P', 'is', 'reference', 'type', ',', 'the', 'type', 'referred', 'to', 'by', 'P', 'is', 'used', '*', 'parm', '=', 'TYPE_MAIN_VARIANT', '(', '*', 'parm', ')', ';', 'if', '(', 'TREE_CODE', '(', '*', 'parm', ')', '==', 'REFERENCE_TYPE', ')', '{', '*', 'parm', '=', 'TREE_TYPE', '(', '*', 'parm', ')', ';', 'result', '|=', 'UNIFY_ALLOW_OUTER_MORE_CV_QUAL', ';', '}', '/', '*', 'DR', '322', '.', 'For', 'conversion', 'deduction', ',', 'remove', 'a', 'reference', 'type', 'on', 'if', '(', 'strict', '==', 'DEDUCE_CONV', '&&', 'TREE_CODE', '(', '*', 'arg', ')', '==', 'REFERENCE_TYPE', ')', '*', 'arg', '=', 'TREE_TYPE', '(', '*', 'arg', ')', ';', 'return', 'result', ';', '}']",CWE-119  False,CWE-120  False,CWE-469  False,CWE-476  False,CWE-other  False
5,"['GaussianSetHistogram', '(', 'struct', 'histogram_s', '*', 'h', ',', 'float', 'mean', ',', 'float', 'sd', ')', '{', 'int', 'sc', ';', 'int', 'hsize', ',', 'idx', ';', 'int', 'nbins', ';', 'float', 'delta', ';', 'UnfitHistogram', '(', 'h', ')', ';', 'h', '->', 'fit_type', '=', 'HISTFIT_GAUSSIAN', ';', 'h', '->', 'param', '[', 'GAUSS_MEAN', ']', '=', 'mean', ';', 'h', '->', 'param', '[', 'GAUSS_SD', ']', '=', 'sd', ';', '/', '*', 'Calculate', 'the', 'expected', 'values', 'for', 'the', 'histogram', '.', 'hsize', '=', 'h', '->', 'max', '-', 'h', '->', 'min', '+', '1', ';', 'h', '->', 'expect', '=', '(', 'float', '*', ')', 'MallocOrDie', '(', 'sizeof', '(', 'float', ')', '*', 'hsize', ')', ';', 'for', '(', 'idx', '=', '0', ';', 'idx', '<', 'hsize', ';', 'idx', '++', ')', 'h', '->', 'expect', '[', 'idx', ']', '=', '0', '.', ';', '/', '*', 'Note', ':', 'ideally', ""we'd"", 'use', 'the', 'Gaussian', 'distribution', '*', 'to', 'find', 'the', 'histogram', 'occupancy', 'in', 'the', 'window', 'sc', '.', '.', 'sc', '+', '1', '.', '*', 'However', ',', 'the', 'distribution', 'function', 'is', 'hard', 'to', 'calculate', '.', '*', 'Instead', ',', 'estimate', 'the', 'histogram', 'by', 'taking', 'the', 'density', 'at', 'sc', '+', '0', '.', '5', '.', 'for', '(', 'sc', '=', 'h', '->', 'min', ';', 'sc', '<=', 'h', '->', 'max', ';', 'sc', '++', ')', '{', 'delta', '=', '(', '(', 'float', ')', 'sc', '+', '0', '.', '5', ')', '-', 'h', '->', 'param', '[', 'GAUSS_MEAN', ']', ';', 'h', '->', 'expect', '[', 'sc', '-', 'h', '->', 'min', ']', '=', '(', 'float', ')', 'h', '->', 'total', '*', '(', '(', '1', '.', '/', '(', 'h', '->', 'param', '[', 'GAUSS_SD', ']', '*', 'sqrt', '(', '2', '.', '*', '3', '.', '14159', ')', ')', ')', '*', '(', 'exp', '(', '-', '1', '.', '*', 'delta', '*', 'delta', '/', '(', '2', '.', '*', 'h', '->', 'param', '[', 'GAUSS_SD', ']', '*', 'h', '->', 'param', '[', 'GAUSS_SD', ']', ')', ')', ')', ')', ';', '}', '/', '*', 'Calculate', 'the', 'goodness', '-', 'of', '-', 'fit', '(', 'within', 'whole', 'region', ')', 'h', '->', 'chisq', '=', '0', '.', ';', 'nbins', '=', '0', ';', 'for', '(', 'sc', '=', 'h', '->', 'lowscore', ';', 'sc', '<=', 'h', '->', 'highscore', ';', 'sc', '++', ')', 'if', '(', 'h', '->', 'expect', '[', 'sc', '-', 'h', '->', 'min', ']', '>=', '5', '.', '&&', 'h', '->', 'histogram', '[', 'sc', '-', 'h', '->', 'min', ']', '>=', '5', ')', '{', 'delta', '=', '(', 'float', ')', 'h', '->', 'histogram', '[', 'sc', '-', 'h', '->', 'min', ']', '-', 'h', '->', 'expect', '[', 'sc', '-', 'h', '->', 'min', ']', ';', 'h', '->', 'chisq', '+=', 'delta', '*', 'delta', '/', 'h', '->', 'expect', '[', 'sc', '-', 'h', '->', 'min', ']', ';', 'nbins', '++', ';', '}', 'if', '(', 'nbins', '>', '1', ')', 'h', '->', 'chip', '=', '(', 'float', ')', 'IncompleteGamma', '(', '(', 'double', ')', '(', 'nbins', '-', '1', ')', '/', '2', '.', ',', '(', 'double', ')', 'h', '->', 'chisq', '/', '2', '.', ')', ';', 'h', '->', 'chip', '=', '0', '.', ';', '}']",CWE-119  False,CWE-120  False,CWE-469  False,CWE-476  False,CWE-other  False
6,"['xdr_gfs3_xattrop_rsp', '(', 'XDR', '*', 'xdrs', ',', 'gfs3_xattrop_rsp', '*', 'objp', ')', '{', 'register', 'int32_t', '*', 'buf', ';', 'buf', '=', 'NULL', ';', 'if', '(', '!xdr_int', '(', 'xdrs', ',', '&', 'objp', '->', 'op_ret', ')', ')', 'return', 'FALSE', ';', 'if', '(', '!xdr_int', '(', 'xdrs', ',', '&', 'objp', '->', 'op_errno', ')', ')', 'return', 'FALSE', ';', 'if', '(', '!xdr_bytes', '(', 'xdrs', ',', '(', 'char', '*', '*', ')', '&', 'objp', '->', 'dict', '.', 'dict_val', ',', '(', 'u_int', '*', ')', '&', 'objp', '->', 'dict', '.', 'dict_len', ',', '~0', ')', ')', 'return', 'FALSE', ';', 'if', '(', '!xdr_bytes', '(', 'xdrs', ',', '(', 'char', '*', '*', ')', '&', 'objp', '->', 'xdata', '.', 'xdata_val', ',', '(', 'u_int', '*', ')', '&', 'objp', '->', 'xdata', '.', 'xdata_len', ',', '~0', ')', ')', 'return', 'FALSE', ';', 'return', 'TRUE', ';', '}']",CWE-119  False,CWE-120  False,CWE-469  False,CWE-476  False,CWE-other  False
7,"['snd_pcm_route_convert', '(', 'const', 'snd_pcm_channel_area_t', '*', 'dst_areas', ',', 'snd_pcm_uframes_t', 'dst_offset', ',', 'const', 'snd_pcm_channel_area_t', '*', 'src_areas', ',', 'snd_pcm_uframes_t', 'src_offset', ',', 'unsigned', 'int', 'src_channels', ',', 'unsigned', 'int', 'dst_channels', ',', 'snd_pcm_uframes_t', 'frames', ',', 'snd_pcm_route_params_t', '*', 'params', ')', '{', 'unsigned', 'int', 'dst_channel', ';', 'snd_pcm_route_ttable_dst_t', '*', 'dstp', ';', 'const', 'snd_pcm_channel_area_t', '*', 'dst_area', ';', 'dstp', '=', 'params', '->', 'dsts', ';', 'dst_area', '=', 'dst_areas', ';', 'for', '(', 'dst_channel', '=', '0', ';', 'dst_channel', '<', 'dst_channels', ';', '++', 'dst_channel', ')', '{', 'if', '(', 'dst_channel', '>=', 'params', '->', 'ndsts', ')', 'snd_pcm_route_convert1_zero', '(', 'dst_area', ',', 'dst_offset', ',', 'src_areas', ',', 'src_offset', ',', 'src_channels', ',', 'frames', ',', 'dstp', ',', 'params', ')', ';', 'dstp', '->', 'func', '(', 'dst_area', ',', 'dst_offset', ',', 'src_areas', ',', 'src_offset', ',', 'src_channels', ',', 'frames', ',', 'dstp', ',', 'params', ')', ';', 'dstp', '++', ';', 'dst_area', '++', ';', '}', '}']",CWE-119  False,CWE-120  False,CWE-469  False,CWE-476  False,CWE-other  False
8,"['repaint_point', '(', 'EMap', '*', 'map', ',', 'EMapPoint', '*', 'point', ')', '{', 'gdouble', 'px', ',', 'py', ';', 'if', '(', '!gtk_widget_is_drawable', '(', 'GTK_WIDGET', '(', 'map', ')', ')', ')', 'return', ';', 'e_map_world_to_window', '(', 'map', ',', 'point', '->', 'longitude', ',', 'point', '->', 'latitude', ',', '&', 'px', ',', '&', 'py', ')', ';', 'gtk_widget_queue_draw_area', '(', 'GTK_WIDGET', '(', 'map', ')', ',', '(', 'gint', ')', 'px', '-', '2', ',', '(', 'gint', ')', 'py', '-', '2', ',', '5', ',', '5', ')', ';', '}']",CWE-119  False,CWE-120  False,CWE-469  False,CWE-476  False,CWE-other  False
9,"['load_modules', '(', 'const', 'char', '*', 'name', ')', '{', 'struct', 'conf_sect_t', '*', 'sect', ';', 'struct', 'conf_option_t', '*', 'opt', ';', 'char', '*', 'fname', ';', 'char', '*', 'path', '=', 'MODULE_PATH', ';', 'char', '*', 'ptr1', ',', '*', 'ptr2', ';', 'struct', 'module_t', '*', 'm', ';', 'void', '*', 'h', ';', 'sect', '=', 'conf_get_section', '(', 'name', ')', ';', 'if', '(', '!sect', ')', '{', 'fprintf', '(', 'stderr', ',', '""""', ',', 'name', ')', ';', 'return', '-', '1', ';', '}', 'fname', '=', '_malloc', '(', 'PATH_MAX', ')', ';', 'list_for_each_entry', '(', 'opt', ',', '&', 'sect', '->', 'items', ',', 'entry', ')', '{', 'if', '(', '!strcmp', '(', 'opt', '->', 'name', ',', '""""', ')', '&&', 'opt', '->', 'val', ')', '{', 'path', '=', 'opt', '->', 'val', ';', 'continue', ';', '}', 'strcpy', '(', 'fname', ',', 'path', ')', ';', 'strcat', '(', 'fname', ',', '""""', ')', ';', 'strcat', '(', 'fname', ',', 'opt', '->', 'name', ')', ';', 'if', '(', 'access', '(', 'fname', ',', 'F_OK', ')', ')', '{', 'strcpy', '(', 'fname', ',', 'path', ')', ';', 'strcat', '(', 'fname', ',', '""""', ')', ';', 'strcat', '(', 'fname', ',', 'opt', '->', 'name', ')', ';', 'strcat', '(', 'fname', ',', '""""', ')', ';', 'if', '(', 'access', '(', 'fname', ',', 'F_OK', ')', ')', '{', 'strcpy', '(', 'fname', ',', 'opt', '->', 'name', ')', ';', 'if', '(', 'access', '(', 'opt', '->', 'name', ',', 'F_OK', ')', ')', '{', 'triton_log_error', '(', '""""', ',', 'opt', '->', 'name', ')', ';', 'continue', ';', '}', '}', '}', 'h', '=', 'dlopen', '(', 'fname', ',', 'RTLD_LAZY', '|', 'RTLD_GLOBAL', ')', ';', 'if', '(', '!h', ')', '{', 'triton_log_error', '(', '""""', ',', 'opt', '->', 'name', ',', 'dlerror', '(', ')', ')', ';', '_free', '(', 'fname', ')', ';', 'return', '-', '1', ';', '}', 'ptr1', '=', 'fname', ';', 'while', '(', '1', ')', '{', 'ptr2', '=', 'strchr', '(', 'ptr1', ',', ""''"", ')', ';', 'if', '(', '!ptr2', ')', 'break', ';', 'ptr1', '=', 'ptr2', '+', '1', ';', '}', 'if', '(', '!strncmp', '(', 'ptr1', ',', '""""', ',', '3', ')', ')', 'ptr1', '+=', '3', ';', 'ptr2', '=', 'strstr', '(', 'ptr1', ',', '""""', ')', ';', 'if', '(', 'ptr2', ')', '*', 'ptr2', '=', '0', ';', 'm', '=', '_malloc', '(', 'sizeof', '(', '*', 'm', ')', ')', ';', 'm', '->', 'name', '=', '_strdup', '(', 'ptr1', ')', ';', 'm', '->', 'handle', '=', 'h', ';', 'list_add_tail', '(', '&', 'm', '->', 'entry', ',', '&', 'modules', ')', ';', '}', '_free', '(', 'fname', ')', ';', 'return', '0', ';', '}']",CWE-119  False,CWE-120  False,CWE-469  False,CWE-476  False,CWE-other  False
